motif_id,name,category,subcategory,description,lexical_indicators,behavioral_indicators,logical_patterns,conflicts_with,synergies_with,weight,cultural_variance,cognitive_load
UTIL_CALC,Utilitarian Calculation,consequentialism,calculation,"Explicit mathematical/quantitative approach to maximizing utility","calculate;maximize;optimize;utility;greatest number;sum;aggregate;net benefit;cost-benefit;expected value","chooses mathematically optimal outcomes;weighs probabilities;considers aggregate effects","IF total_utility(A) > total_utility(B) THEN choose(A)","DEONT_ABSOLUTE,VIRT_CHARACTER,CARE_PARTICULAR","PRAGMA_OUTCOMES,RISK_ASSESSMENT",0.9,low,high
UTIL_SATIS,Utilitarian Satisficing,consequentialism,satisficing,"Good enough outcomes rather than optimal","good enough;satisfactory;adequate;reasonable;acceptable;workable;sufficient","accepts suboptimal but good outcomes;avoids perfectionism","IF utility(A) > threshold THEN A_is_acceptable","UTIL_MAXIM,PERFECT_DUTY","PRAGMA_WORKABLE,BOUNDED_RATIONAL",0.7,medium,medium
DEONT_ABSOLUTE,Absolute Deontological,deontological,categorical,"Absolute moral rules regardless of consequences","never;always;absolute;categorical;unconditional;without exception;fundamental;inherent","refuses to violate rules even for good outcomes;cites universal principles","IF rule_violation(action) THEN forbidden(action) REGARDLESS consequences","UTIL_CALC,PRAGMA_FLEXI,CARE_CONTEXT","RIGHTS_INVIOLABLE,DIGNITY_RESPECT",0.95,high,low
DEONT_PRIMA,Prima Facie Duties,deontological,prima_facie,"Competing duties that must be balanced","prima facie;competing duties;moral conflict;balance;weigh;override;stronger duty","acknowledges moral dilemmas;weighs competing obligations","weight(duty_1) vs weight(duty_2) IN context","DEONT_ABSOLUTE,UTIL_SIMPLE","MORAL_PLURALISM,CONTEXT_SENSITIVE",0.8,medium,high
VIRT_CHARACTER,Virtue Character Focus,virtue_ethics,character,"What would a virtuous person do","virtuous person;character;role model;exemplar;integrity;moral person;what would X do","references moral exemplars;focuses on character traits","emulate(virtuous_agent)","UTIL_CALC,DEONT_RULES,CARE_RELATION","NARRATIVE_IDENTITY,MORAL_EDUCATION",0.7,high,medium
VIRT_EXCELLENCE,Virtue Excellence,virtue_ethics,excellence,"Striving for moral excellence and flourishing","excellence;flourishing;eudaimonia;best self;moral growth;virtue;character development","emphasizes personal moral development;long-term character","cultivate(virtue) FOR flourishing","UTIL_EXTERNAL,DEONT_COMPLIANCE","VIRT_CHARACTER,SELF_IMPROVEMENT",0.6,high,medium
CARE_PARTICULAR,Care for Particular,care_ethics,particular,"Responding to specific individuals and contexts","this person;particular case;individual needs;context;specific situation;personal","focuses on individual rather than universal;contextual responses","respond_to(particular_other) IN specific_context","DEONT_UNIVERSAL,UTIL_IMPARTIAL,JUST_BLIND","CONTEXT_SENSITIVE,RELATION_MAINTAIN",0.8,very_high,low
CARE_RELATION,Care Relationship,care_ethics,relational,"Maintaining and nurturing relationships","relationship;connection;caring;nurture;maintain;interdependence;community","prioritizes relationship maintenance;considers impact on bonds","maintain(caring_relationship) + respond_to(relational_needs)","UTIL_AGGREGATE,DEONT_IMPARTIAL","CARE_PARTICULAR,COMMUNITY_GOOD",0.7,very_high,medium
JUST_PROCEDURAL,Procedural Justice,justice,procedural,"Fair processes and procedures","fair process;due process;procedure;consistent;impartial;equal treatment;systematic","insists on fair procedures;consistent application of rules","apply(procedure) CONSISTENTLY across cases","CARE_ARBITRARY,UTIL_OUTCOMES","RULE_OF_LAW,EQUAL_TREATMENT",0.85,low,medium
JUST_DISTRIBUTIVE,Distributive Justice,justice,distributive,"Fair distribution of benefits and burdens","fair share;distribution;equality;equity;desert;merit;need;contribution","considers fairness of outcomes;distribution patterns","distribute(goods) ACCORDING_TO principle(equality|merit|need)","UTIL_MAXIMIZE,CARE_FAVORITISM","SOCIAL_COOPERATION,FAIRNESS_NORM",0.8,medium,high
